time,pi,x_left,y_left,x_right,y_right
8.5e-05,-nan,-nan,-nan,-nan,-nan
8.6e-05,-nan,-nan,-nan,-nan,-nan
8.7e-05,-nan,-nan,-nan,-nan,-nan
8.8e-05,-nan,-nan,-nan,-nan,-nan
8.9e-05,-nan,-nan,-nan,-nan,-nan
9e-05,-nan,-nan,-nan,-nan,-nan
9.1e-05,-nan,-nan,-nan,-nan,-nan
9.2e-05,-nan,-nan,-nan,-nan,-nan
9.3e-05,-nan,-nan,-nan,-nan,-nan
9.4e-05,-nan,-nan,-nan,-nan,-nan
9.5e-05,-nan,-nan,-nan,-nan,-nan
9.6e-05,-nan,-nan,-nan,-nan,-nan
9.7e-05,-nan,-nan,-nan,-nan,-nan
9.8e-05,-nan,-nan,-nan,-nan,-nan
9.9e-05,-nan,-nan,-nan,-nan,-nan
0.0001,-nan,-nan,-nan,-nan,-nan
0.000101,-nan,-nan,-nan,-nan,-nan
0.000102,-nan,-nan,-nan,-nan,-nan
0.000103,-nan,-nan,-nan,-nan,-nan
0.000104,-nan,-nan,-nan,-nan,-nan
0.000105,-nan,-nan,-nan,-nan,-nan
0.000106,-nan,-nan,-nan,-nan,-nan
0.000107,-nan,-nan,-nan,-nan,-nan
0.000108,-nan,-nan,-nan,-nan,-nan
0.000109,-nan,-nan,-nan,-nan,-nan
0.00011,-nan,-nan,-nan,-nan,-nan
0.000111,-nan,-nan,-nan,-nan,-nan
0.000112,-nan,-nan,-nan,-nan,-nan
0.000113,-nan,-nan,-nan,-nan,-nan
0.000114,-nan,-nan,-nan,-nan,-nan
0.000115,-nan,-nan,-nan,-nan,-nan
0.000116,-nan,-nan,-nan,-nan,-nan
0.000117,-nan,-nan,-nan,-nan,-nan
0.000118,-nan,-nan,-nan,-nan,-nan
0.000119,-nan,-nan,-nan,-nan,-nan
0.00012,-nan,-nan,-nan,-nan,-nan
0.000121,-nan,-nan,-nan,-nan,-nan
0.000122,-nan,-nan,-nan,-nan,-nan
0.000123,-nan,-nan,-nan,-nan,-nan
0.000124,-nan,-nan,-nan,-nan,-nan
0.000125,-nan,-nan,-nan,-nan,-nan
0.000126,-nan,-nan,-nan,-nan,-nan
0.000127,-nan,-nan,-nan,-nan,-nan
0.000128,-nan,-nan,-nan,-nan,-nan
0.000129,-nan,-nan,-nan,-nan,-nan
0.00013,-nan,-nan,-nan,-nan,-nan
0.000131,-nan,-nan,-nan,-nan,-nan
0.000132,-nan,-nan,-nan,-nan,-nan
0.000133,-nan,-nan,-nan,-nan,-nan
0.000134,-nan,-nan,-nan,-nan,-nan
0.000135,-nan,-nan,-nan,-nan,-nan
0.000136,-nan,-nan,-nan,-nan,-nan
0.000137,-nan,-nan,-nan,-nan,-nan
0.000138,-nan,-nan,-nan,-nan,-nan
0.000139,-nan,-nan,-nan,-nan,-nan
0.00014,-nan,-nan,-nan,-nan,-nan
0.000141,-nan,-nan,-nan,-nan,-nan
0.000142,-nan,-nan,-nan,-nan,-nan
0.000143,-nan,-nan,-nan,-nan,-nan
0.000144,-nan,-nan,-nan,-nan,-nan
0.000145,-nan,-nan,-nan,-nan,-nan
0.000146,-nan,-nan,-nan,-nan,-nan
0.000147,-nan,-nan,-nan,-nan,-nan
0.000148,-nan,-nan,-nan,-nan,-nan
0.000149,-nan,-nan,-nan,-nan,-nan
0.00015,-nan,-nan,-nan,-nan,-nan
0.000151,-nan,-nan,-nan,-nan,-nan
0.000152,-nan,-nan,-nan,-nan,-nan
0.000153,-nan,-nan,-nan,-nan,-nan
0.000154,-nan,-nan,-nan,-nan,-nan
0.000155,-nan,-nan,-nan,-nan,-nan
0.000156,-nan,-nan,-nan,-nan,-nan
0.000157,-nan,-nan,-nan,-nan,-nan
0.000158,-nan,-nan,-nan,-nan,-nan
0.000159,-nan,-nan,-nan,-nan,-nan
0.00016,-nan,-nan,-nan,-nan,-nan
0.000161,-nan,-nan,-nan,-nan,-nan
0.000162,-nan,-nan,-nan,-nan,-nan
0.000163,-nan,-nan,-nan,-nan,-nan
0.000164,-nan,-nan,-nan,-nan,-nan
0.000165,-nan,-nan,-nan,-nan,-nan
0.000166,-nan,-nan,-nan,-nan,-nan
0.000167,-nan,-nan,-nan,-nan,-nan
0.000168,-nan,-nan,-nan,-nan,-nan
0.000169,-nan,-nan,-nan,-nan,-nan
0.00017,-nan,-nan,-nan,-nan,-nan
0.000171,-nan,-nan,-nan,-nan,-nan
0.000172,-nan,-nan,-nan,-nan,-nan
0.000173,-nan,-nan,-nan,-nan,-nan
0.000174,-nan,-nan,-nan,-nan,-nan
0.000175,-nan,-nan,-nan,-nan,-nan
0.000176,-nan,-nan,-nan,-nan,-nan
0.000177,-nan,-nan,-nan,-nan,-nan
0.000178,-nan,-nan,-nan,-nan,-nan
0.000179,-nan,-nan,-nan,-nan,-nan
0.00018,-nan,-nan,-nan,-nan,-nan
0.000181,-nan,-nan,-nan,-nan,-nan
0.000182,-nan,-nan,-nan,-nan,-nan
0.000183,-nan,-nan,-nan,-nan,-nan
0.000184,-nan,-nan,-nan,-nan,-nan
0.000185,-nan,-nan,-nan,-nan,-nan
0.000186,-nan,-nan,-nan,-nan,-nan
0.000187,-nan,-nan,-nan,-nan,-nan
0.000188,-nan,-nan,-nan,-nan,-nan
0.000189,-nan,-nan,-nan,-nan,-nan
0.00019,-nan,-nan,-nan,-nan,-nan
0.000191,-nan,-nan,-nan,-nan,-nan
0.000192,-nan,-nan,-nan,-nan,-nan
0.000193,-nan,-nan,-nan,-nan,-nan
0.000194,-nan,-nan,-nan,-nan,-nan
0.000195,-nan,-nan,-nan,-nan,-nan
0.000196,-nan,-nan,-nan,-nan,-nan
0.000197,-nan,-nan,-nan,-nan,-nan
0.000198,-nan,-nan,-nan,-nan,-nan
0.000199,-nan,-nan,-nan,-nan,-nan
0.0002,-nan,-nan,-nan,-nan,-nan
0.000201,-nan,-nan,-nan,-nan,-nan
0.000202,-nan,-nan,-nan,-nan,-nan
0.000203,-nan,-nan,-nan,-nan,-nan
0.000204,-nan,-nan,-nan,-nan,-nan
0.000205,-nan,-nan,-nan,-nan,-nan
0.000206,-nan,-nan,-nan,-nan,-nan
0.000207,-nan,-nan,-nan,-nan,-nan
0.000208,-nan,-nan,-nan,-nan,-nan
0.000209,-nan,-nan,-nan,-nan,-nan
0.00021,-nan,-nan,-nan,-nan,-nan
0.000211,-nan,-nan,-nan,-nan,-nan
0.000212,-nan,-nan,-nan,-nan,-nan
0.000213,-nan,-nan,-nan,-nan,-nan
0.000214,-nan,-nan,-nan,-nan,-nan
0.000215,-nan,-nan,-nan,-nan,-nan
0.000216,-nan,-nan,-nan,-nan,-nan
0.000217,-nan,-nan,-nan,-nan,-nan
0.000218,-nan,-nan,-nan,-nan,-nan
0.000219,-nan,-nan,-nan,-nan,-nan
0.00022,-nan,-nan,-nan,-nan,-nan
0.000221,-nan,-nan,-nan,-nan,-nan
0.000222,-nan,-nan,-nan,-nan,-nan
0.000223,-nan,-nan,-nan,-nan,-nan
0.000224,-nan,-nan,-nan,-nan,-nan
0.000225,-nan,-nan,-nan,-nan,-nan
0.000226,-nan,-nan,-nan,-nan,-nan
0.000227,-nan,-nan,-nan,-nan,-nan
0.000228,-nan,-nan,-nan,-nan,-nan
0.000229,-nan,-nan,-nan,-nan,-nan
0.00023,-nan,-nan,-nan,-nan,-nan
0.000231,-nan,-nan,-nan,-nan,-nan
0.000232,-nan,-nan,-nan,-nan,-nan
0.000233,-nan,-nan,-nan,-nan,-nan
0.000234,-nan,-nan,-nan,-nan,-nan
0.000235,-nan,-nan,-nan,-nan,-nan
0.000236,-nan,-nan,-nan,-nan,-nan
0.000237,-nan,-nan,-nan,-nan,-nan
0.000238,-nan,-nan,-nan,-nan,-nan
0.000239,-nan,-nan,-nan,-nan,-nan
0.00024,-nan,-nan,-nan,-nan,-nan
0.000241,-nan,-nan,-nan,-nan,-nan
0.000242,-nan,-nan,-nan,-nan,-nan
0.000243,-nan,-nan,-nan,-nan,-nan
0.000244,-nan,-nan,-nan,-nan,-nan
0.000245,-nan,-nan,-nan,-nan,-nan
0.000246,-nan,-nan,-nan,-nan,-nan
0.000247,-nan,-nan,-nan,-nan,-nan
0.000248,-nan,-nan,-nan,-nan,-nan
0.000249,-nan,-nan,-nan,-nan,-nan
0.00025,-nan,-nan,-nan,-nan,-nan
0.000251,-nan,-nan,-nan,-nan,-nan
0.000252,-nan,-nan,-nan,-nan,-nan
0.000253,-nan,-nan,-nan,-nan,-nan
0.000254,-nan,-nan,-nan,-nan,-nan
0.000255,-nan,-nan,-nan,-nan,-nan
0.000256,-nan,-nan,-nan,-nan,-nan
0.000257,-nan,-nan,-nan,-nan,-nan
0.000258,-nan,-nan,-nan,-nan,-nan
0.000259,-nan,-nan,-nan,-nan,-nan
0.00026,-nan,-nan,-nan,-nan,-nan
0.000261,-nan,-nan,-nan,-nan,-nan
0.000262,-nan,-nan,-nan,-nan,-nan
0.000263,-nan,-nan,-nan,-nan,-nan
0.000264,-nan,-nan,-nan,-nan,-nan
0.000265,-nan,-nan,-nan,-nan,-nan
0.000266,-nan,-nan,-nan,-nan,-nan
0.000267,-nan,-nan,-nan,-nan,-nan
0.000268,-nan,-nan,-nan,-nan,-nan
0.000269,-nan,-nan,-nan,-nan,-nan
0.00027,-nan,-nan,-nan,-nan,-nan
0.000271,-nan,-nan,-nan,-nan,-nan
0.000272,-nan,-nan,-nan,-nan,-nan
0.000273,-nan,-nan,-nan,-nan,-nan
0.000274,-nan,-nan,-nan,-nan,-nan
0.000275,-nan,-nan,-nan,-nan,-nan
0.000276,-nan,-nan,-nan,-nan,-nan
0.000277,-nan,-nan,-nan,-nan,-nan
0.000278,-nan,-nan,-nan,-nan,-nan
0.000279,-nan,-nan,-nan,-nan,-nan
0.00028,-nan,-nan,-nan,-nan,-nan
0.000281,-nan,-nan,-nan,-nan,-nan
0.000282,-nan,-nan,-nan,-nan,-nan
0.000283,-nan,-nan,-nan,-nan,-nan
0.000284,-nan,-nan,-nan,-nan,-nan
0.000285,-nan,-nan,-nan,-nan,-nan
0.000286,-nan,-nan,-nan,-nan,-nan
0.000287,-nan,-nan,-nan,-nan,-nan
0.000288,-nan,-nan,-nan,-nan,-nan
0.000289,-nan,-nan,-nan,-nan,-nan
0.00029,-nan,-nan,-nan,-nan,-nan
0.000291,-nan,-nan,-nan,-nan,-nan
0.000292,-nan,-nan,-nan,-nan,-nan
0.000293,-nan,-nan,-nan,-nan,-nan
0.000294,-nan,-nan,-nan,-nan,-nan
0.000295,-nan,-nan,-nan,-nan,-nan
0.000296,-nan,-nan,-nan,-nan,-nan
0.000297,-nan,-nan,-nan,-nan,-nan
0.000298,-nan,-nan,-nan,-nan,-nan
0.000299,-nan,-nan,-nan,-nan,-nan
0.0003,-nan,-nan,-nan,-nan,-nan
0.000301,-nan,-nan,-nan,-nan,-nan
0.000302,-nan,-nan,-nan,-nan,-nan
0.000303,-nan,-nan,-nan,-nan,-nan
0.000304,-nan,-nan,-nan,-nan,-nan
0.000305,-nan,-nan,-nan,-nan,-nan
0.000306,-nan,-nan,-nan,-nan,-nan
0.000307,-nan,-nan,-nan,-nan,-nan
0.000308,-nan,-nan,-nan,-nan,-nan
0.000309,-nan,-nan,-nan,-nan,-nan
0.00031,-nan,-nan,-nan,-nan,-nan
0.000311,-nan,-nan,-nan,-nan,-nan
0.000312,-nan,-nan,-nan,-nan,-nan
0.000313,-nan,-nan,-nan,-nan,-nan
0.000314,-nan,-nan,-nan,-nan,-nan
0.000315,-nan,-nan,-nan,-nan,-nan
0.000316,-nan,-nan,-nan,-nan,-nan
0.000317,-nan,-nan,-nan,-nan,-nan
0.000318,-nan,-nan,-nan,-nan,-nan
0.000319,-nan,-nan,-nan,-nan,-nan
0.00032,-nan,-nan,-nan,-nan,-nan
0.000321,-nan,-nan,-nan,-nan,-nan
0.000322,-nan,-nan,-nan,-nan,-nan
0.000323,-nan,-nan,-nan,-nan,-nan
0.000324,-nan,-nan,-nan,-nan,-nan
0.000325,-nan,-nan,-nan,-nan,-nan
0.000326,-nan,-nan,-nan,-nan,-nan
0.000327,-nan,-nan,-nan,-nan,-nan
0.000328,-nan,-nan,-nan,-nan,-nan
0.000329,-nan,-nan,-nan,-nan,-nan
0.00033,-nan,-nan,-nan,-nan,-nan
0.000331,-nan,-nan,-nan,-nan,-nan
0.000332,-nan,-nan,-nan,-nan,-nan
0.000333,-nan,-nan,-nan,-nan,-nan
0.000334,-nan,-nan,-nan,-nan,-nan
0.000335,-nan,-nan,-nan,-nan,-nan
0.000336,-nan,-nan,-nan,-nan,-nan
0.000337,-nan,-nan,-nan,-nan,-nan
0.000338,-nan,-nan,-nan,-nan,-nan
0.000339,-nan,-nan,-nan,-nan,-nan
0.00034,-nan,-nan,-nan,-nan,-nan
0.000341,-nan,-nan,-nan,-nan,-nan
0.000342,-nan,-nan,-nan,-nan,-nan
0.000343,-nan,-nan,-nan,-nan,-nan
0.000344,-nan,-nan,-nan,-nan,-nan
0.000345,-nan,-nan,-nan,-nan,-nan
0.000346,-nan,-nan,-nan,-nan,-nan
0.000347,-nan,-nan,-nan,-nan,-nan
0.000348,-nan,-nan,-nan,-nan,-nan
0.000349,-nan,-nan,-nan,-nan,-nan
0.00035,-nan,-nan,-nan,-nan,-nan
0.000351,-nan,-nan,-nan,-nan,-nan
0.000352,-nan,-nan,-nan,-nan,-nan
0.000353,-nan,-nan,-nan,-nan,-nan
0.000354,-nan,-nan,-nan,-nan,-nan
0.000355,-nan,-nan,-nan,-nan,-nan
0.000356,-nan,-nan,-nan,-nan,-nan
0.000357,-nan,-nan,-nan,-nan,-nan
0.000358,-nan,-nan,-nan,-nan,-nan
0.000359,-nan,-nan,-nan,-nan,-nan
0.00036,-nan,-nan,-nan,-nan,-nan
0.000361,-nan,-nan,-nan,-nan,-nan
0.000362,-nan,-nan,-nan,-nan,-nan
0.000363,-nan,-nan,-nan,-nan,-nan
0.000364,-nan,-nan,-nan,-nan,-nan
0.000365,-nan,-nan,-nan,-nan,-nan
0.000366,-nan,-nan,-nan,-nan,-nan
0.000367,-nan,-nan,-nan,-nan,-nan
0.000368,-nan,-nan,-nan,-nan,-nan
0.000369,-nan,-nan,-nan,-nan,-nan
0.00037,-nan,-nan,-nan,-nan,-nan
0.000371,-nan,-nan,-nan,-nan,-nan
0.000372,-nan,-nan,-nan,-nan,-nan
0.000373,-nan,-nan,-nan,-nan,-nan
0.000374,-nan,-nan,-nan,-nan,-nan
0.000375,-nan,-nan,-nan,-nan,-nan
0.000376,-nan,-nan,-nan,-nan,-nan
0.000377,-nan,-nan,-nan,-nan,-nan
0.000378,-nan,-nan,-nan,-nan,-nan
0.000379,-nan,-nan,-nan,-nan,-nan
0.00038,-nan,-nan,-nan,-nan,-nan
0.000381,-nan,-nan,-nan,-nan,-nan
0.000382,-nan,-nan,-nan,-nan,-nan
0.000383,-nan,-nan,-nan,-nan,-nan
0.000384,-nan,-nan,-nan,-nan,-nan
0.000385,-nan,-nan,-nan,-nan,-nan
0.000386,-nan,-nan,-nan,-nan,-nan
0.000387,-nan,-nan,-nan,-nan,-nan
0.000388,-nan,-nan,-nan,-nan,-nan
0.000389,-nan,-nan,-nan,-nan,-nan
0.00039,-nan,-nan,-nan,-nan,-nan
0.000391,-nan,-nan,-nan,-nan,-nan
0.000392,-nan,-nan,-nan,-nan,-nan
0.000393,-nan,-nan,-nan,-nan,-nan
0.000394,-nan,-nan,-nan,-nan,-nan
0.000395,-nan,-nan,-nan,-nan,-nan
0.000396,-nan,-nan,-nan,-nan,-nan
0.000397,-nan,-nan,-nan,-nan,-nan
0.000398,-nan,-nan,-nan,-nan,-nan
0.000399,-nan,-nan,-nan,-nan,-nan
0.0004,-nan,-nan,-nan,-nan,-nan
0.000401,-nan,-nan,-nan,-nan,-nan
0.000402,-nan,-nan,-nan,-nan,-nan
0.000403,-nan,-nan,-nan,-nan,-nan
0.000404,-nan,-nan,-nan,-nan,-nan
0.000405,-nan,-nan,-nan,-nan,-nan
0.000406,-nan,-nan,-nan,-nan,-nan
0.000407,-nan,-nan,-nan,-nan,-nan
0.000408,-nan,-nan,-nan,-nan,-nan
0.000409,-nan,-nan,-nan,-nan,-nan
0.00041,-nan,-nan,-nan,-nan,-nan
0.000411,-nan,-nan,-nan,-nan,-nan
0.000412,-nan,-nan,-nan,-nan,-nan
0.000413,-nan,-nan,-nan,-nan,-nan
0.000414,-nan,-nan,-nan,-nan,-nan
0.000415,-nan,-nan,-nan,-nan,-nan
0.000416,-nan,-nan,-nan,-nan,-nan
0.000417,-nan,-nan,-nan,-nan,-nan
0.000418,-nan,-nan,-nan,-nan,-nan
0.000419,-nan,-nan,-nan,-nan,-nan
0.00042,-nan,-nan,-nan,-nan,-nan
0.000421,-nan,-nan,-nan,-nan,-nan
0.000422,-nan,-nan,-nan,-nan,-nan
0.000423,-nan,-nan,-nan,-nan,-nan
0.000424,-nan,-nan,-nan,-nan,-nan
0.000425,-nan,-nan,-nan,-nan,-nan
0.000426,-nan,-nan,-nan,-nan,-nan
0.000427,-nan,-nan,-nan,-nan,-nan
0.000428,-nan,-nan,-nan,-nan,-nan
0.000429,-nan,-nan,-nan,-nan,-nan
0.00043,-nan,-nan,-nan,-nan,-nan
0.000431,-nan,-nan,-nan,-nan,-nan
0.000432,-nan,-nan,-nan,-nan,-nan
0.000433,-nan,-nan,-nan,-nan,-nan
0.000434,-nan,-nan,-nan,-nan,-nan
0.000435,-nan,-nan,-nan,-nan,-nan
0.000436,-nan,-nan,-nan,-nan,-nan
0.000437,-nan,-nan,-nan,-nan,-nan
0.000438,-nan,-nan,-nan,-nan,-nan
0.000439,-nan,-nan,-nan,-nan,-nan
0.00044,-nan,-nan,-nan,-nan,-nan
0.000441,-nan,-nan,-nan,-nan,-nan
0.000442,-nan,-nan,-nan,-nan,-nan
0.000443,-nan,-nan,-nan,-nan,-nan
0.000444,-nan,-nan,-nan,-nan,-nan
0.000445,-nan,-nan,-nan,-nan,-nan
0.000446,-nan,-nan,-nan,-nan,-nan
0.000447,-nan,-nan,-nan,-nan,-nan
0.000448,-nan,-nan,-nan,-nan,-nan
0.000449,-nan,-nan,-nan,-nan,-nan
0.00045,-nan,-nan,-nan,-nan,-nan
0.000451,-nan,-nan,-nan,-nan,-nan
0.000452,-nan,-nan,-nan,-nan,-nan
0.000453,-nan,-nan,-nan,-nan,-nan
0.000454,-nan,-nan,-nan,-nan,-nan
0.000455,-nan,-nan,-nan,-nan,-nan
0.000456,-nan,-nan,-nan,-nan,-nan
0.000457,-nan,-nan,-nan,-nan,-nan
0.000458,-nan,-nan,-nan,-nan,-nan
0.000459,-nan,-nan,-nan,-nan,-nan
0.00046,-nan,-nan,-nan,-nan,-nan
0.000461,-nan,-nan,-nan,-nan,-nan
0.000462,-nan,-nan,-nan,-nan,-nan
0.000463,-nan,-nan,-nan,-nan,-nan
0.000464,-nan,-nan,-nan,-nan,-nan
0.000465,-nan,-nan,-nan,-nan,-nan
0.000466,-nan,-nan,-nan,-nan,-nan
0.000467,-nan,-nan,-nan,-nan,-nan
0.000468,-nan,-nan,-nan,-nan,-nan
0.000469,-nan,-nan,-nan,-nan,-nan
0.00047,-nan,-nan,-nan,-nan,-nan
0.000471,-nan,-nan,-nan,-nan,-nan
0.000472,-nan,-nan,-nan,-nan,-nan
0.000473,-nan,-nan,-nan,-nan,-nan
0.000474,-nan,-nan,-nan,-nan,-nan
0.000475,-nan,-nan,-nan,-nan,-nan
0.000476,-nan,-nan,-nan,-nan,-nan
0.000477,-nan,-nan,-nan,-nan,-nan
0.000478,-nan,-nan,-nan,-nan,-nan
0.000479,-nan,-nan,-nan,-nan,-nan
0.00048,-nan,-nan,-nan,-nan,-nan
0.000481,-nan,-nan,-nan,-nan,-nan
0.000482,-nan,-nan,-nan,-nan,-nan
0.000483,-nan,-nan,-nan,-nan,-nan
0.000484,-nan,-nan,-nan,-nan,-nan
0.000485,-nan,-nan,-nan,-nan,-nan
0.000486,-nan,-nan,-nan,-nan,-nan
0.000487,-nan,-nan,-nan,-nan,-nan
0.000488,-nan,-nan,-nan,-nan,-nan
0.000489,-nan,-nan,-nan,-nan,-nan
0.00049,-nan,-nan,-nan,-nan,-nan
0.000491,-nan,-nan,-nan,-nan,-nan
0.000492,-nan,-nan,-nan,-nan,-nan
0.000493,-nan,-nan,-nan,-nan,-nan
0.000494,-nan,-nan,-nan,-nan,-nan
0.000495,-nan,-nan,-nan,-nan,-nan
0.000496,-nan,-nan,-nan,-nan,-nan
0.000497,-nan,-nan,-nan,-nan,-nan
0.000498,-nan,-nan,-nan,-nan,-nan
0.000499,-nan,-nan,-nan,-nan,-nan
0.0005,-nan,-nan,-nan,-nan,-nan
0.000501,-nan,-nan,-nan,-nan,-nan
0.000502,-nan,-nan,-nan,-nan,-nan
0.000503,-nan,-nan,-nan,-nan,-nan
0.000504,-nan,-nan,-nan,-nan,-nan
0.000505,-nan,-nan,-nan,-nan,-nan
0.000506,-nan,-nan,-nan,-nan,-nan
0.000507,-nan,-nan,-nan,-nan,-nan
0.000508,-nan,-nan,-nan,-nan,-nan
0.000509,-nan,-nan,-nan,-nan,-nan
0.0005101,-nan,-nan,-nan,-nan,-nan
0.0005111,-nan,-nan,-nan,-nan,-nan
0.0005121,-nan,-nan,-nan,-nan,-nan
0.0005131,-nan,-nan,-nan,-nan,-nan
0.0005141,-nan,-nan,-nan,-nan,-nan
0.0005151,-nan,-nan,-nan,-nan,-nan
0.0005161,-nan,-nan,-nan,-nan,-nan
0.0005171,-nan,-nan,-nan,-nan,-nan
0.0005181,-nan,-nan,-nan,-nan,-nan
0.0005191,-nan,-nan,-nan,-nan,-nan
0.0005201,-nan,-nan,-nan,-nan,-nan
0.0005211,-nan,-nan,-nan,-nan,-nan
0.0005221,-nan,-nan,-nan,-nan,-nan
0.0005231,-nan,-nan,-nan,-nan,-nan
0.0005241,-nan,-nan,-nan,-nan,-nan
0.0005251,-nan,-nan,-nan,-nan,-nan
0.0005261,-nan,-nan,-nan,-nan,-nan
0.0005271,-nan,-nan,-nan,-nan,-nan
0.0005281,-nan,-nan,-nan,-nan,-nan
0.0005291,-nan,-nan,-nan,-nan,-nan
0.0005301,-nan,-nan,-nan,-nan,-nan
0.0005311,-nan,-nan,-nan,-nan,-nan
0.0005321,-nan,-nan,-nan,-nan,-nan
0.0005331,-nan,-nan,-nan,-nan,-nan
0.0005341,-nan,-nan,-nan,-nan,-nan
0.0005351,-nan,-nan,-nan,-nan,-nan
0.0005361,-nan,-nan,-nan,-nan,-nan
0.0005371,-nan,-nan,-nan,-nan,-nan
0.0005381,-nan,-nan,-nan,-nan,-nan
0.0005391,-nan,-nan,-nan,-nan,-nan
0.0005401,-nan,-nan,-nan,-nan,-nan
0.0005411,-nan,-nan,-nan,-nan,-nan
0.0005421,-nan,-nan,-nan,-nan,-nan
0.0005431,-nan,-nan,-nan,-nan,-nan
0.0005441,-nan,-nan,-nan,-nan,-nan
0.0005451,-nan,-nan,-nan,-nan,-nan
0.0005461,-nan,-nan,-nan,-nan,-nan
0.0005471,-nan,-nan,-nan,-nan,-nan
0.0005481,-nan,-nan,-nan,-nan,-nan
